County,Crop,Year,AW (acre-ft/acre),Total Land (Irrigated Crop Area in acres),AW,,,,,,,,,,,,,,,,,,
Monterey,Sugar Beets,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Monterey,Corn,1998,1.47,100,146.6666667,,,,,,,,,,,,,,,,,,
Monterey,Dry Beans,1998,1.40,3000,4188.333333,,,,,,,,,,,,,,,,,,
Monterey,Safflower,1998,0.75,300,225,,,,,,,,,,,,,,,,,,
Monterey,Other Field,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Monterey,Alfalfa,1998,3.23,1200,3871.428571,,,,,,,,,,,,,,,,,,
Monterey,Pasture,1998,3.29,100,328.5714286,,,,,,,,,,,,,,,,,,
Monterey,Tomato Processing,1998,2.40,200,480,,,,,,,,,,,,,,,,,,
Monterey,Tomato Fresh,1998,1.97,1800,3540,,,,,,,,,,,,,,,,,,
Monterey,Cucurbits,1998,1.01,900,907.6923077,,,,,,,,,,,,,,,,,,
Monterey,Onions & Garlic,1998,2.85,6000,17122.85714,,,,,,,,,,,,,,,,,,
Monterey,Potatoes,1998,2.36,900,2123.076923,,,,,,,,,,,,,,,,,,
Monterey,Truck Crops,1998,1.58,229100,362294.5831,,,,,,,,,,,,,,,,,,
Monterey, Almonds & Pistachios,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
Monterey, Other Deciduous,1998,1.52,600,913.3333333,,,,,,,,,,,,,,,,,,
Monterey, Citrus & Subtropical,1998,1.19,1500,1777.777778,,,,,,,,,,,,,,,,,,
Monterey,Vineyard,1998,1.52,37100,56369.9269,,,,,,,,,,,,,,,,,,
Napa,Grain,1998,0.00,0,0,,,,,,,,,,,,,,,,,,
